,dir,dist,mean_eps_reward,std_eps_reward,mean_step_reward
0,x,[0. 0. 0.],-6.4301708704248695,0.031316714319305536,-0.0643017087042487
1,x,[0.01111111 0.         0.        ],-6.354957587997585,0.01628663121418548,-0.06354957587997584
2,x,[0.02222222 0.         0.        ],-6.3196773139837505,0.027565143476483103,-0.0631967731398375
3,x,[0.03333333 0.         0.        ],-6.227732824122843,0.10442412531520803,-0.06227732824122843
4,x,[0.04444444 0.         0.        ],-6.140402855157542,0.20401390217501564,-0.061404028551575424
5,x,[0.05555556 0.         0.        ],-5.973286816779971,0.24490579869956175,-0.059732868167799706
6,x,[0.06666667 0.         0.        ],-5.760015460698924,0.18033940075203161,-0.05760015460698924
7,x,[0.07777778 0.         0.        ],-5.512519077291169,0.07837180357720971,-0.05512519077291169
8,x,[0.08888889 0.         0.        ],-5.240899820618021,0.1589610473673065,-0.05240899820618021
9,x,[0.1 0.  0. ],-5.152844595764084,0.2862415009011965,-0.05152844595764084
10,z,[0. 0. 0.],-6.4301708704248695,0.031316714319305536,-0.0643017087042487
11,z,[0.         0.         0.01111111],-5.9920984638883965,0.22727349849335263,-0.05992098463888396
12,z,[0.         0.         0.02222222],-5.377609716282071,0.17492541916378834,-0.0537760971628207
13,z,[0.         0.         0.03333333],-4.824923366579848,0.09436780613449362,-0.04824923366579848
14,z,[0.         0.         0.04444444],-4.39099000073232,0.05248831158093996,-0.043909900007323206
15,z,[0.         0.         0.05555556],-4.063296934201692,0.014721035355625188,-0.04063296934201692
16,z,[0.         0.         0.06666667],-4.370867968226473,0.02405353825076498,-0.04370867968226473
17,z,[0.         0.         0.07777778],-11.584294247052943,0.11021155358622027,-0.11584294247052944
18,z,[0.         0.         0.08888889],-54.50840812440341,0.06214140920579023,-0.5450840812440341
19,z,[0.  0.  0.1],-143.42044302875487,1.0082508057642394,-1.4342044302875487
20,xyz,[0. 0. 0.],-6.4301708704248695,0.031316714319305536,-0.0643017087042487
21,xyz,[0.00555556 0.00555556 0.00555556],-6.237622683544032,0.17432228312907375,-0.06237622683544032
22,xyz,[0.01111111 0.01111111 0.01111111],-5.936785588099156,0.20483100565536133,-0.059367855880991555
23,xyz,[0.01666667 0.01666667 0.01666667],-5.551989291775196,0.20413336255737796,-0.05551989291775196
24,xyz,[0.02222222 0.02222222 0.02222222],-5.145743958855746,0.15938787484845557,-0.05145743958855746
25,xyz,[0.02777778 0.02777778 0.02777778],-4.742296488489956,0.10378469774120606,-0.047422964884899554
26,xyz,[0.03333333 0.03333333 0.03333333],-4.33343487084494,0.07636181233889502,-0.0433343487084494
27,xyz,[0.03888889 0.03888889 0.03888889],-3.948181652017714,0.0840960649544443,-0.03948181652017714
28,xyz,[0.04444444 0.04444444 0.04444444],-3.6524160641808217,0.065558218363063,-0.03652416064180822
29,xyz,[0.05 0.05 0.05],-3.7089985684724525,0.0875791910811835,-0.037089985684724526
